USFWS	Year	TerrYr	Terr	Sex	mate_USFWS	social.class	fecundity	pair.status	survival	transition	divorce	back_transition	category
1	2010	000110	0001	F	none	juvenile	0	none	0	NA	NA	NA	resident
2	2010	000110	0001	M	none	juvenile	0	none	0	NA	NA	NA	resident
3	2002	000202	0002	NA	none	juvenile	0	none	0	NA	NA	NA	resident
4	1969	000369	0003	F	none	juvenile	0	none	0	NA	NA	NA	resident
5	1969	000369	0003	NA	none	juvenile	0	none	0	NA	NA	NA	resident
6	1970	000470	0004	F	none	juvenile	0	none	1	0	NA	NA	resident
7	1971	000571	0005	NA	none	juvenile	0	none	0	NA	NA	NA	resident
8	1971	000571	0005	NA	none	juvenile	0	none	0	NA	NA	NA	resident
9	1971	000571	0005	NA	none	juvenile	0	none	0	NA	NA	NA	resident
10	1971	000571	0005	F	none	juvenile	0	none	0	NA	NA	NA	resident
11	1971	000671	0006	NA	none	juvenile	0	none	0	NA	NA	NA	resident
12	1971	000771	0007	M	none	juvenile	0	none	1	0	NA	NA	resident
13	1971	000771	0007	F	none	juvenile	0	none	1	0	NA	NA	resident
14	1971	000771	0007	NA	none	juvenile	0	none	0	NA	NA	NA	resident
15	1971	000871	0008	NA	none	juvenile	0	none	0	NA	NA	NA	resident
16	1971	000871	0008	NA	none	juvenile	0	none	0	NA	NA	NA	resident
17	1971	000871	0008	M	none	juvenile	0	none	1	0	NA	NA	resident
18	1971	000971	0009	NA	none	juvenile	0	none	0	NA	NA	NA	resident
19	1971	001071	0010	F	none	juvenile	0	none	1	0	NA	NA	resident
20	1971	001071	0010	NA	none	juvenile	0	none	0	NA	NA	NA	resident
21	1971	001071	0010	NA	none	juvenile	0	none	0	NA	NA	NA	resident
22	1971	001171	0011	NA	none	juvenile	0	none	0	NA	NA	NA	resident
23	1971	001171	0011	NA	none	juvenile	0	none	0	NA	NA	NA	resident
24	1971	001171	0011	NA	none	juvenile	0	none	0	NA	NA	NA	resident
25	1971	001171	0011	NA	none	juvenile	0	none	0	NA	NA	NA	resident
26	1971	001271	0012	M	none	juvenile	0	none	1	0	NA	NA	resident
27	1971	001271	0012	NA	none	juvenile	0	none	0	NA	NA	NA	resident
28	1971	001371	0013	NA	none	juvenile	0	none	0	NA	NA	NA	resident
29	1971	001371	0013	NA	none	juvenile	0	none	0	NA	NA	NA	resident
30	1971	001371	0013	NA	none	juvenile	0	none	0	NA	NA	NA	resident
31	1971	001471	0014	NA	none	juvenile	0	none	0	NA	NA	NA	resident
32	1971	001471	0014	NA	none	juvenile	0	none	0	NA	NA	NA	resident
33	1971	001471	0014	NA	none	juvenile	0	none	0	NA	NA	NA	resident
34	1971	001571	0015	NA	none	juvenile	0	none	0	NA	NA	NA	resident
35	1971	001571	0015	F	none	juvenile	0	none	1	0	NA	NA	resident
36	1971	001571	0015	M	none	juvenile	0	none	1	0	NA	NA	resident
37	1971	001671	0016	M	none	juvenile	0	none	1	0	NA	NA	resident
38	1971	001771	0017	NA	none	juvenile	0	none	0	NA	NA	NA	resident
39	1971	001771	0017	NA	none	juvenile	0	none	0	NA	NA	NA	resident
40	1971	001771	0017	NA	none	juvenile	0	none	0	NA	NA	NA	resident
41	1971	001871	0018	M	none	juvenile	0	none	1	0	NA	NA	resident
42	1971	001871	0018	NA	none	juvenile	0	none	0	NA	NA	NA	resident
43	1971	001871	0018	NA	none	juvenile	0	none	1	0	NA	NA	resident
44	1971	001971	0019	NA	none	juvenile	0	none	0	NA	NA	NA	resident
45	1971	002071	0020	M	none	juvenile	0	none	1	0	NA	NA	resident
46	1971	002071	0020	NA	none	juvenile	0	none	0	NA	NA	NA	resident
47	1971	002071	0020	NA	none	juvenile	0	none	0	NA	NA	NA	resident
48	1971	002071	0020	NA	none	juvenile	0	none	0	NA	NA	NA	resident
49	1971	002171	0021	NA	none	juvenile	0	none	0	NA	NA	NA	resident
50	1971	002171	0021	NA	none	juvenile	0	none	0	NA	NA	NA	resident
51	1971	002171	0021	NA	none	juvenile	0	none	0	NA	NA	NA	resident
52	1971	002271	0022	NA	none	juvenile	0	none	0	NA	NA	NA	resident
53	1971	002271	0022	NA	none	juvenile	0	none	0	NA	NA	NA	resident
54	1971	002371	0023	F	none	juvenile	0	none	1	0	NA	NA	resident
55	1971	002371	0023	NA	none	juvenile	0	none	0	NA	NA	NA	resident
56	1971	002471	0024	NA	none	juvenile	0	none	0	NA	NA	NA	resident
57	1971	002471	0024	NA	none	juvenile	0	none	0	NA	NA	NA	resident
58	1971	002471	0024	NA	none	juvenile	0	none	0	NA	NA	NA	resident
