Tract	TerrYr	Year	easting	northing	ha	Terr
South	016902	2002	465400.2479	3000774.355	12.819221	0169
South	017802	2002	464274.4379	3002996.929	7.8502775	0178
South	020002	2002	465475.1639	3001266.996	8.951146	0200
South	020004	2004	465412.2196	3001234.79	12.387369	0200
South	019602	2002	465788.6396	3000668.48	7.929537	0196
South	019604	2004	465782.7563	3000654.122	9.782136	0196
South	004102	2002	464396.3018	3000083.901	11.548899	0041
South	004104	2004	464301.6594	3000144.001	16.60569	0041
South	016502	2002	465502.4993	3002530.908	12.2121015	0165
South	016504	2004	465435.1062	3002500.326	9.6452755	0165
South	005102	2002	464427.5871	3000564.26	11.813139	0051
South	005104	2004	464492.0407	3000578.078	11.895569	0051
South	014202	2002	464851.1379	3003002.288	6.3698725	0142
South	014204	2004	464836.7306	3002998.299	6.040256	0142
South	010502	2002	463695.9699	3003950.138	14.854005	0105
South	010504	2004	463801.9306	3003856.005	14.5529035	0105
South	017102	2002	464622.5454	3001196.549	10.6872235	0171
South	017104	2004	464669.6665	3001173.508	9.949388	0171
South	016802	2002	465774.2811	3001910.672	11.0487915	0168
South	016804	2004	465804.4038	3001956.529	10.7560525	0168
South	017504	2004	464407.8104	3004125.954	7.20232	0175
South	009702	2002	464588.184	3003264.227	10.301328	0097
South	009704	2004	464570.0983	3003426.389	10.2209055	0097
South	019502	2002	465247.0393	3002180.677	7.152022	0195
South	019504	2004	465247.3821	3002178.049	8.07005	0195
South	020902	2002	464192.089	3001585.029	11.5526565	0209
South	020904	2004	464312.0424	3001546.412	10.847215	0209
South	000202	2002	463891.5399	3001065.238	11.4816375	0002
South	000204	2004	463903.5524	3000874.79	12.477748	0002
South	016202	2002	464661.0373	3003887.525	15.7662235	0162
South	016204	2004	464714.3967	3003850.665	11.1641895	0162
South	018102	2002	464116.2402	3002054.721	10.3237565	0181
South	018104	2004	464064.3945	3002015.111	9.1169895	0181
South	017004	2004	464096.4209	3002496.01	5.1274265	0170
South	021202	2002	464098.9326	3000339.045	14.006523	0212
South	019902	2002	465342.9887	3001567.029	13.477068	0199
South	019904	2004	465341.7571	3001500.671	13.648717	0199
South	030104	2004	465230.6857	3000498.38	7.343969	0301
South	020202	2002	465770.4259	3001562.53	9.9539725	0202
South	020204	2004	465808.2644	3001575.238	11.323473	0202
South	021802	2002	465371.673	3001942.615	10.7665765	0218
South	021804	2004	465369.5941	3001909.065	11.09718	0218
South	004602	2002	463823.7322	3003207.208	13.9322915	0046
South	004604	2004	463862.0594	3003200.525	12.458753	0046
South	021902	2002	463839.3813	3002648.384	9.6385825	0219
