TerrYr	Year	TSF	TSF_yr	CellCount	area	area_ha	Terr
000871	1971	2371	6.495890410958904	11592	72450	7.245	0008
001271	1971	2371	6.495890410958904	20558	128487.5	12.84875	0012
001371	1971	2371	6.495890410958904	12663	79143.75	7.914375	0013
001171	1971	2371	6.495890410958904	12653	79081.25	7.908125	0011
002371	1971	2371	6.495890410958904	17963	112268.75	11.226875	0023
001671	1971	2371	6.495890410958904	13759	85993.75	8.599375	0016
001971	1971	2371	6.495890410958904	6587	41168.75	4.116875	0019
015971	1971	257	0.7041095890410959	3	18.75	0.001875	0159
015971	1971	2371	6.495890410958904	9497	59356.25	5.935625	0159
000771	1971	1640	4.493150684931507	15703	98143.75	9.814375	0007
000771	1971	2371	6.495890410958904	12440	77750	7.775	0007
001571	1971	2371	6.495890410958904	7134	44587.5	4.45875	0015
002171	1971	257	0.7041095890410959	131	818.75	0.081875	0021
002171	1971	2371	6.495890410958904	7957	49731.25	4.973125	0021
001071	1971	1640	4.493150684931507	25	156.25	0.015625	0010
001071	1971	2371	6.495890410958904	12372	77325	7.7325	0010
011571	1971	2371	6.495890410958904	13612	85075	8.5075	0115
002671	1971	1640	4.493150684931507	16439	102743.75	10.274375	0026
002671	1971	2371	6.495890410958904	237	1481.25	0.148125	0026
002471	1971	1640	4.493150684931507	2594	16212.5	1.62125	0024
002471	1971	2371	6.495890410958904	6273	39206.25	3.920625	0024
002271	1971	1640	4.493150684931507	8609	53806.25	5.380625	0022
002271	1971	2371	6.495890410958904	6578	41112.5	4.11125	0022
001771	1971	1640	4.493150684931507	21521	134506.25	13.450625	0017
001771	1971	2371	6.495890410958904	5220	32625	3.2625	0017
001471	1971	1640	4.493150684931507	20805	130031.25	13.003125	0014
001471	1971	2371	6.495890410958904	21869	136681.25	13.668125	0014
003171	1971	1640	4.493150684931507	5	31.25	0.003125	0031
003171	1971	2371	6.495890410958904	13950	87187.5	8.71875	0031
000872	1972	2737	7.498630136986302	11787	73668.75	7.366875	0008
001272	1972	2737	7.498630136986302	19678	122987.5	12.29875	0012
001372	1972	2737	7.498630136986302	12218	76362.5	7.63625	0013
001172	1972	2737	7.498630136986302	18429	115181.25	11.518125	0011
001972	1972	2737	7.498630136986302	7553	47206.25	4.720625	0019
022272	1972	2737	7.498630136986302	10536	65850	6.585	0222
001672	1972	2737	7.498630136986302	12557	78481.25	7.848125	0016
002372	1972	2737	7.498630136986302	11321	70756.25	7.075625	0023
001872	1972	2737	7.498630136986302	17966	112287.5	11.22875	0018
