Year	TerrYr	Terr	n	Tract	Include	ContinuityNum
1988	009488	0094	5	Demo	TRUE	1
1988	014488	0144	2	Demo	TRUE	1
1988	002388	0023	5	Demo	TRUE	1
1988	002688	0026	5	Demo	TRUE	1
1988	007088	0070	5	Demo	TRUE	1
1988	009388	0093	6	Demo	TRUE	1
1988	002288	0022	7	Demo	TRUE	1
1988	043488	0434	2	Demo	TRUE	1
1988	013088	0130	2	Demo	TRUE	1
1988	011788	0117	5	Demo	TRUE	1
1988	008788	0087	5	Demo	TRUE	1
1988	007188	0071	2	Demo	TRUE	1
1988	005788	0057	5	Demo	TRUE	1
1988	006388	0063	10	Demo	TRUE	1
1988	007688	0076	5	Demo	TRUE	1
1988	010388	0103	6	Demo	TRUE	1
1988	012988	0129	3	Demo	TRUE	1
1988	010488	0104	7	Demo	TRUE	1
1988	008288	0082	2	Demo	TRUE	1
1988	012488	0124	5	Demo	TRUE	1
1988	008988	0089	6	Demo	TRUE	1
1988	003488	0034	4	Demo	TRUE	1
1988	020488	0204	2	Demo	TRUE	1
1988	011088	0110	2	Demo	TRUE	1
1988	014688	0146	2	Demo	TRUE	1
1988	006488	0064	4	Demo	TRUE	1
1988	007788	0077	2	Demo	TRUE	1
1988	014788	0147	3	Demo	TRUE	1
1988	009288	0092	3	Demo	TRUE	1
1988	003688	0036	5	Demo	TRUE	1
1988	006988	0069	2	Demo	TRUE	1
1988	006188	0061	6	Demo	TRUE	1
1988	002988	0029	6	Demo	TRUE	1
1988	012788	0127	3	Demo	TRUE	1
1988	003288	0032	5	Demo	TRUE	1
1988	007588	0075	4	Demo	TRUE	1
1988	002488	0024	5	Demo	TRUE	1
1988	006888	0068	5	Demo	TRUE	1
1988	009188	0091	6	Demo	TRUE	1
1988	001788	0017	4	Demo	TRUE	1
1988	007888	0078	4	Demo	TRUE	1
1988	012888	0128	2	Demo	TRUE	1
1988	009088	0090	5	Demo	TRUE	1
1988	020588	0205	4	Demo	TRUE	1
1988	004488	0044	2	Demo	TRUE	1
1988	008688	0086	7	Demo	TRUE	1
1988	001288	0012	4	Demo	TRUE	1
1988	004388	0043	2	Demo	TRUE	1
1988	000488	0004	7	Demo	TRUE	1
1988	008888	0088	5	Demo	TRUE	1
1988	023688	0236	4	Demo	TRUE	1
1988	011488	0114	4	Demo	TRUE	1
1988	014388	0143	4	Demo	TRUE	1
1988	009588	0095	7	Demo	TRUE	1
1988	047088	0470	2	Demo	TRUE	1
1988	005388	0053	8	Demo	TRUE	1
1988	004788	0047	3	Demo	TRUE	1
1988	012588	0125	6	Demo	TRUE	1
1988	000788	0007	5	Demo	TRUE	1
1989	009489	0094	5	Demo	TRUE	1
1989	014489	0144	3	Demo	TRUE	1
1989	002389	0023	7	Demo	TRUE	1
1989	002689	0026	7	Demo	TRUE	1
1989	007089	0070	7	Demo	TRUE	2
1989	002289	0022	3	Demo	TRUE	1
1989	013089	0130	7	Demo	TRUE	1
1989	011789	0117	7	Demo	TRUE	1
1989	008789	0087	6	Demo	TRUE	1
1989	007189	0071	5	Demo	TRUE	1
1989	006389	0063	6	Demo	TRUE	1
1989	013189	0131	8	Demo	TRUE	1
1989	000389	0003	3	Demo	TRUE	1
1989	007689	0076	3	Demo	TRUE	1
1989	010389	0103	7	Demo	TRUE	1
1989	012989	0129	9	Demo	TRUE	1
1989	010489	0104	7	Demo	TRUE	1
1989	008289	0082	3	Demo	TRUE	1
1989	014889	0148	3	Demo	TRUE	1
1989	008989	0089	7	Demo	TRUE	1
1989	003489	0034	6	Demo	TRUE	1
1989	020489	0204	2	Demo	TRUE	1
1989	011089	0110	5	Demo	TRUE	2
1989	014689	0146	3	Demo	TRUE	1
1989	045089	0450	2	Demo	TRUE	1
1989	006489	0064	2	Demo	TRUE	1
1989	007789	0077	2	Demo	TRUE	1
1989	014789	0147	5	Demo	TRUE	1
1989	005589	0055	2	Demo	TRUE	1
1989	009289	0092	6	Demo	TRUE	1
1989	014089	0140	5	Demo	TRUE	1
1989	003689	0036	6	Demo	TRUE	1
1989	006989	0069	6	Demo	TRUE	1
1989	006189	0061	2	Demo	TRUE	1
1989	002989	0029	5	Demo	TRUE	1
1989	012789	0127	5	Demo	TRUE	1
1989	003289	0032	6	Demo	TRUE	1
1989	007589	0075	5	Demo	TRUE	1
1989	002489	0024	4	Demo	TRUE	1
1989	006889	0068	7	Demo	TRUE	1
1989	009189	0091	5	Demo	TRUE	1
1989	001789	0017	5	Demo	TRUE	1
1989	007889	0078	4	Demo	TRUE	1
1989	012889	0128	6	Demo	TRUE	1
1989	009089	0090	7	Demo	TRUE	1
1989	020589	0205	5	Demo	TRUE	1
1989	004489	0044	7	Demo	TRUE	1
1989	003989	0039	3	Demo	TRUE	1
1989	008689	0086	8	Demo	TRUE	1
1989	001289	0012	4	Demo	TRUE	1
1989	004389	0043	5	Demo	TRUE	1
1989	000489	0004	8	Demo	TRUE	1
1989	008889	0088	5	Demo	TRUE	1
1989	023689	0236	2	Demo	TRUE	2
1989	011489	0114	5	Demo	TRUE	1
1989	014389	0143	6	Demo	TRUE	1
1989	009589	0095	6	Demo	TRUE	1
1989	023789	0237	2	Demo	TRUE	1
1989	005389	0053	6	Demo	TRUE	1
1989	004789	0047	3	Demo	TRUE	1
1989	012589	0125	5	Demo	TRUE	1
1989	000789	0007	6	Demo	TRUE	1
