YEAR	acorns	posts	acorns.mean
1988	1679.7660586527186	168	9.998607491980469
1989	382.85269712425344	143	2.6772915882814927
1990	1310.327108361683	165	7.941376414313231
1991	968.4480019025839	168	5.764571439896333
1992	1172.9056027518686	168	6.981580968761123
1993	1648.745908328011	168	9.813963740047685
1994	595.2909735298732	168	3.543398651963531
1995	1497.7274034922061	165	9.077135778740644
1996	1135.5283454669307	128	8.871315198960396
1997	659.5816465999314	168	3.926081229761497
1998	1433.7552551186595	157	9.132199077188915
1999	413.86470290824377	146	2.834689745946875
2000	1116.7473991953536	168	6.6473059475913905
2001	349.4965793244961	168	2.080336781693429
2002	323.1983098247446	166	1.9469777700285822
2003	749.8254670076857	168	4.4632468274267
2004	839.0130930284251	168	4.994125553740626
2005	1229.1176145511138	168	7.316176277089963
2006	322.56452962452687	168	1.920026962050755
2007	638.2987317221457	168	3.7993972126318196
2008	785.8581018325582	168	4.677726796622371
2009	373.9088189322218	168	2.225647731739415
2010	829.2333510328644	168	4.93591280376705
2011	588.6016046442934	168	3.5035809800255557
2012	950.8653983350207	156	6.0952910149680815
2013	718.4227259963727	168	4.276325749978409
2014	750.1966168033439	168	4.465456052400857
2015	909.786303005786	168	5.415394660748726
2016	1191.7848408330071	168	7.093957385910757
2017	562.2417243996094	154	3.6509202883091523
2018	527.8554243536843	168	3.141996573533835
2019	179.2561053747685	168	1.0670006272307648
2020	349.82853503817614	167	2.0947816469351865
2021	604.4006872393203	167	3.6191657918522173
2022	871.4214096293189	168	5.187032200174517
