Fam	USFWS	Dad	Mom	Sex	pedF
1	9659	0	0	1	0
1	9780	0	0	1	0
1	9609	0	0	1	0
1	9801	0	0	1	0
1	8927	0	0	2	0
1	9850	0	0	1	0
1	9769	0	0	1	0
1	9199	0	0	2	0
1	8925	0	0	2	0
1	8903	0	0	2	0
1	9656	0	0	1	0
1	9149	0	0	2	0
1	9626	0	0	1	0
1	9596	0	0	1	0
1	9867	0	0	1	0
1	9005	0	0	2	0
1	9655	0	0	1	0
1	9675	0	0	1	0
1	9610	0	0	1	0
1	9281	0	0	2	0
1	9622	0	0	1	0
1	9003	0	0	2	0
1	9802	0	0	1	0
1	9640	0	0	1	0
1	8941	0	0	2	0
1	9160	0	0	2	0
1	9809	0	0	1	0
1	9865	0	0	1	0
1	9661	0	0	1	0
1	9815	0	0	1	0
1	9198	0	0	2	0
1	9800	0	0	1	0
1	7170	9802	9199	2	0
1	7171	9802	9199	0	0
1	7172	9769	9149	0	0
1	7173	9769	9149	0	0
1	7174	9769	9149	0	0
1	9814	0	0	1	0
1	9031	0	0	2	0
1	8942	0	0	2	0
1	7179	9801	9198	2	0
1	7180	9801	9198	2	0
1	8943	0	0	2	0
1	9753	0	0	1	0
1	9821	0	0	1	0
1	9032	0	0	2	0
1	7181	9780	9160	2	0
1	9004	0	0	2	0
1	9851	0	0	1	0
1	9189	0	0	2	0
1	9222	0	0	2	0
1	9803	0	0	1	0
1	9008	0	0	2	0
1	7182	9780	9160	0	0
1	7183	9780	9160	0	0
1	7184	9780	9160	0	0
1	7185	9780	9160	0	0
1	7186	9626	8942	1	0
1	7187	9626	8942	0	0
1	7188	9626	8942	0	0
1	7189	9801	9198	0	0
1	7190	9801	9198	0	0
1	7191	9801	9198	0	0
1	7192	9801	9198	0	0
1	7197	9802	9199	1	0
1	7198	9802	9199	0	0
1	7199	9802	9199	0	0
1	7203	9769	9149	2	0
1	7204	9769	9149	1	0
1	7205	9769	9149	0	0
1	7206	9800	9005	0	0
1	7207	9800	9005	2	0
1	7208	9800	9005	0	0
1	7209	9800	9005	2	0
1	7210	9815	9222	0	0
1	7211	9815	9222	0	0
1	7212	9815	9222	2	0
1	7213	9815	9222	2	0
1	7214	9675	9031	0	0
1	7215	9609	8925	2	0
1	7216	9609	8925	2	0
1	7217	9655	9003	2	0
1	7218	9655	9003	1	0
1	7219	9655	9003	1	0
1	7220	9865	9281	0	0
1	7221	9865	9281	1	0
1	7222	9865	9281	2	0
1	7223	9610	8927	2	0
1	9624	0	0	1	0
1	7224	9622	8941	1	0
1	9218	0	0	2	0
1	7226	9814	9218	1	0
1	9748	0	0	1	0
1	7235	9626	8943	0	0
1	7236	9626	8943	0	0
1	7237	9626	8943	0	0
1	9597	0	0	1	0
1	9132	0	0	2	0
1	9265	0	0	2	0
1	8911	0	0	2	0
1	9275	0	0	2	0
1	9858	0	0	1	0
1	7239	7186	7181	1	0
1	7240	7186	7181	0	0
1	7249	9858	9275	1	0
1	7250	9858	9275	0	0
1	7251	9858	9275	2	0
1	7252	9610	8927	0	0
1	7253	9610	8927	0	0
1	7254	9610	8927	0	0
1	7255	9610	8927	1	0
1	7259	9640	7222	0	0
1	7260	9640	7222	2	0
1	7261	9675	9032	0	0
1	7262	9675	9032	0	0
1	7263	9626	8943	1	0
1	7264	9626	8943	0	0
1	7265	9626	8943	0	0
1	7266	9624	9189	0	0
1	7267	9624	9189	0	0
1	7268	9624	9189	0	0
1	7269	9624	9189	0	0
1	7270	9609	7203	0	0
1	7271	9609	7203	2	0
1	7272	9609	7203	0	0
1	7273	9609	7203	2	0
1	7274	9655	9004	2	0
1	7275	9655	9004	2	0
1	7276	9655	9004	0	0
1	7277	7218	8903	0	0
1	7278	7218	8903	2	0
1	7279	7218	8903	2	0
1	7287	9780	9160	0	0
1	7288	9780	9160	0	0
1	7289	9780	9160	0	0
1	7298	9769	9149	1	0
1	7299	9769	9149	0	0
1	7300	9769	9149	0	0
1	9101	0	0	2	0
1	9150	0	0	2	0
1	7301	7226	7222	0	0
1	7302	7226	7222	2	0
1	7303	9858	9275	0	0
1	7304	9858	9275	0	0
1	7305	9858	9275	0	0
1	7306	9858	9275	0	0
1	7324	9656	9005	0	0
1	7325	9656	9005	0	0
1	7326	9656	9005	0	0
1	7334	9769	9149	0	0
1	7335	9769	9149	0	0
1	7336	9769	9149	1	0
1	7337	9769	9149	0	0
1	7348	9748	7215	0	0
1	7349	9748	7215	0	0
1	7350	7249	9008	0	0
1	7351	7249	9008	0	0
1	7352	7249	9008	0	0
1	9217	0	0	2	0
1	7369	9858	9275	0	0
1	7370	9858	9275	0	0
1	7371	9858	9275	0	0
1	7375	9609	9150	0	0
1	7376	9609	9150	0	0
1	7377	9609	9150	0	0
1	7384	9656	9005	0	0
1	9719	0	0	1	0
1	9810	0	0	1	0
1	7398	9656	9005	2	0
1	7399	9656	9005	0	0
1	7400	9656	9005	0	0
1	7401	9656	9005	0	0
1	7402	9858	9275	2	0
1	7403	9858	9275	0	0
1	7404	9858	9275	0	0
1	9714	0	0	1	0
1	7452	7226	7222	2	0
1	7453	7226	7222	1	0
1	7454	7226	7222	1	0
1	7455	7226	7222	0	0
1	9154	0	0	2	0
1	7464	7226	7222	1	0
1	7465	7226	7222	0	0
1	7468	9769	9149	2	0
1	7469	9656	9005	0	0
1	7470	9656	9005	0	0
1	9085	0	0	2	0
1	10356	0	0	2	0
1	10357	0	0	2	0
1	10358	0	0	1	0
1	9216	0	0	2	0
1	10359	0	0	2	0
1	10360	0	0	1	0
1	10361	0	0	2	0
1	10362	0	0	2	0
1	9388	0	0	2	0
1	9365	0	0	2	0
1	9327	0	0	2	0
1	9007	0	0	2	0
1	4	9659	9007	2	0
1	5	9659	9007	0	0
1	9639	0	0	1	0
1	6	9814	9218	2	0
1	9210	0	0	2	0
1	9797	0	0	1	0
1	9660	0	0	1	0
1	11	9622	7181	0	0
1	12	9865	9281	1	0
1	13	9865	9281	2	0
1	14	9865	9281	0	0
1	19	9769	9149	2	0
1	20	9769	9149	0	0
1	21	9769	9149	0	0
1	22	9801	9198	0	0
1	23	9801	9198	0	0
1	24	9801	9198	0	0
1	25	9801	9198	0	0
1	26	9809	9210	1	0
1	27	9809	9210	0	0
1	28	9596	8903	0	0
1	29	9596	8903	0	0
1	30	9596	8903	0	0
1	34	9675	9032	0	0
1	35	9675	9032	2	0
1	36	9675	9032	1	0
1	37	9655	9003	1	0
1	38	9660	9007	0	0
1	39	9660	9007	0	0
1	40	9660	9007	0	0
1	41	9850	7468	1	0
1	42	9850	7468	0	0
1	43	9850	7468	0	0
1	49	9803	9199	0	0
1	50	9803	9199	0	0
1	51	9803	9199	0	0
1	52	9626	8942	0	0
1	53	9626	8942	0	0
1	54	9609	8925	2	0
1	55	9609	8925	0	0
1	9181	0	0	2	0
1	62	9610	8927	0	0
1	63	9610	8927	0	0
1	64	9610	8927	0	0
1	65	9610	8927	0	0
1	8970	0	0	2	0
1	9283	0	0	2	0
1	70	9867	9283	0	0
1	72	9867	9283	2	0
1	73	9867	9283	1	0
1	9284	0	0	2	0
1	79	9610	8927	0	0
1	80	9610	8927	0	0
1	86	9801	9005	0	0
1	87	9801	9005	0	0
1	88	9801	9005	0	0
1	92	9815	8943	0	0
1	93	9815	8943	2	0
1	94	9814	9218	0	0
1	95	9814	9218	0	0
1	96	9675	9032	0	0
